The Atlanta Hawks ( 46 - 12 ) defeated the Orlando Magic ( 19 - 41 ) 95 - 88 . Nikola Vucevic scored 21 points ( 10 - 16 FG , 0 - 0 3PT , 1 - 2 FT ) to go with 15 rebounds . Paul Millsap scored 20 points ( 8 - 17 FG , 4 - 7 3PT , 0 - 2 FT ) to go with 4 rebounds . Victor Oladipo scored 19 points ( 8 - 18 FG , 2 - 5 3PT , 1 - 2 FT ) to go with 3 rebounds . Al Horford scored 17 points ( 7 - 9 FG , 0 - 0 3PT , 3 - 4 FT ) to go with 13 rebounds . Jeff Teague scored 17 points ( 6 - 15 FG , 1 - 4 3PT , 4 - 4 FT ) to go with 0 rebounds . Tobias Harris scored 15 points ( 5 - 9 FG , 2 - 4 3PT , 3 - 4 FT ) to go with 4 rebounds . The Atlanta Hawks ' next game will be at home against the Dallas Mavericks, while the Orlando Magic will travel to play the Bulls .
The Milwaukee Bucks ( 18 - 17 ) defeated the New York Knicks ( 5 - 31 ) 95 - 82 . Brandon Knight scored 17 points ( 6 - 14 FG , 1 - 3 3PT , 4 - 5 FT ) to go with 2 rebounds . Tim Hardaway Jr. scored 17 points ( 6 - 13 FG , 3 - 5 3PT , 2 - 4 FT ) to go with 3 rebounds . Giannis Antetokounmpo scored 16 points ( 6 - 9 FG , 1 - 1 3PT , 3 - 6 FT ) to go with 12 rebounds . Zaza Pachulia scored 16 points ( 6 - 12 FG , 0 - 0 3PT , 4 - 4 FT ) to go with 14 rebounds . Kendall Marshall scored 15 points ( 6 - 8 FG , 0 - 2 3PT , 3 - 3 FT ) to go with 2 rebounds . JR Smith scored 15 points ( 6 - 16 FG , 3 - 7 3PT , 0 - 0 FT ) to go with 7 rebounds . The Milwaukee Bucks ' next game will be at home against the Dallas Mavericks, while the New York Knicks will travel to play the Bulls .
The Memphis Grizzlies ( 5 - 0 ) defeated the Phoenix Suns ( 3 - 2 ) 102 - 91 . Mike Conley scored 24 points ( 9 - 14 FG , 3 - 4 3PT , 3 - 5 FT ) to go with 1 rebounds . Eric Bledsoe scored 23 points ( 9 - 12 FG , 2 - 2 3PT , 3 - 4 FT ) to go with 5 rebounds . Courtney Lee scored 22 points ( 9 - 14 FG , 4 - 5 3PT , 0 - 0 FT ) to go with 3 rebounds . Markieff Morris scored 20 points ( 8 - 13 FG , 2 - 3 3PT , 2 - 3 FT ) to go with 5 rebounds . Marc Gasol scored 18 points ( 6 - 12 FG , 0 - 0 3PT , 6 - 6 FT ) to go with 5 rebounds . Isaiah Thomas scored 15 points ( 4 - 10 FG , 1 - 4 3PT , 6 - 6 FT ) to go with 1 rebounds . The Memphis Grizzlies ' next game will be at home against the Dallas Mavericks, while the Phoenix Suns will travel to play the Bulls .
The Toronto Raptors ( 29 - 15 ) defeated the Detroit Pistons ( 17 - 28 ) 114 - 110 . D.J. Augustin scored 35 points ( 12 - 20 FG , 5 - 9 3PT , 6 - 6 FT ) to go with 4 rebounds . DeMar DeRozan scored 25 points ( 8 - 14 FG , 1 - 2 3PT , 8 - 10 FT ) to go with 6 rebounds . Greg Monroe scored 21 points ( 9 - 17 FG , 0 - 0 3PT , 3 - 5 FT ) to go with 16 rebounds . Jonas Valanciunas scored 20 points ( 9 - 15 FG , 0 - 0 3PT , 2 - 2 FT ) to go with 11 rebounds . Amir Johnson scored 17 points ( 7 - 9 FG , 0 - 0 3PT , 3 - 4 FT ) to go with 2 rebounds . Kentavious Caldwell-Pope scored 16 points ( 6 - 17 FG , 3 - 9 3PT , 1 - 2 FT ) to go with 3 rebounds . The Toronto Raptors ' next game will be at home against the Dallas Mavericks, while the Detroit Pistons will travel to play the Bulls .
The Detroit Pistons ( 30 - 29 ) defeated the Milwaukee Bucks ( 24 - 35 ) 102 - 91 . Khris Middleton scored 26 points ( 11 - 20 FG , 2 - 3 3PT , 2 - 2 FT ) to go with 7 rebounds . Reggie Jackson scored 22 points ( 6 - 10 FG , 1 - 4 3PT , 9 - 10 FT ) to go with 2 rebounds . Marcus Morris scored 20 points ( 8 - 14 FG , 3 - 6 3PT , 1 - 2 FT ) to go with 8 rebounds . Tobias Harris scored 15 points ( 5 - 14 FG , 2 - 3 3PT , 3 - 4 FT ) to go with 4 rebounds . Andre Drummond scored 15 points ( 7 - 17 FG , 0 - 0 3PT , 1 - 6 FT ) to go with 17 rebounds . Jabari Parker scored 13 points ( 5 - 10 FG , 0 - 0 3PT , 3 - 4 FT ) to go with 5 rebounds . The Detroit Pistons ' next game will be at home against the Dallas Mavericks, while the Milwaukee Bucks will travel to play the Bulls .
The Milwaukee Bucks ( 8 - 8 ) defeated the Cleveland Cavaliers ( 13 - 3 ) 118 - 101 . Giannis Antetokounmpo scored 34 points ( 13 - 19 FG , 1 - 2 3PT , 7 - 10 FT ) to go with 12 rebounds . LeBron James scored 22 points ( 8 - 16 FG , 3 - 8 3PT , 3 - 7 FT ) to go with 4 rebounds . Kyrie Irving scored 20 points ( 5 - 12 FG , 2 - 5 3PT , 8 - 8 FT ) to go with 2 rebounds . Jabari Parker scored 18 points ( 7 - 17 FG , 1 - 3 3PT , 3 - 3 FT ) to go with 4 rebounds . Michael Beasley scored 17 points ( 7 - 10 FG , 1 - 1 3PT , 2 - 2 FT ) to go with 2 rebounds . Greg Monroe scored 14 points ( 6 - 8 FG , 0 - 0 3PT , 2 - 2 FT ) to go with 6 rebounds . The Milwaukee Bucks ' next game will be at home against the Dallas Mavericks, while the Cleveland Cavaliers will travel to play the Bulls .
The Cleveland Cavaliers ( 4 - 0 ) defeated the Boston Celtics ( 0 - 4 ) 101 - 93 . LeBron James scored 27 points ( 10 - 24 FG , 1 - 7 3PT , 6 - 10 FT ) to go with 10 rebounds . Kyrie Irving scored 24 points ( 8 - 19 FG , 2 - 5 3PT , 6 - 8 FT ) to go with 11 rebounds . Jared Sullinger scored 21 points ( 9 - 17 FG , 1 - 4 3PT , 2 - 5 FT ) to go with 11 rebounds . Isaiah Thomas scored 21 points ( 4 - 17 FG , 1 - 7 3PT , 12 - 12 FT ) to go with 5 rebounds . Avery Bradley scored 16 points ( 6 - 13 FG , 1 - 5 3PT , 3 - 4 FT ) to go with 5 rebounds . Iman Shumpert scored 15 points ( 3 - 4 FG , 1 - 2 3PT , 8 - 8 FT ) to go with 10 rebounds . The Cleveland Cavaliers ' next game will be at home against the Dallas Mavericks, while the Boston Celtics will travel to play the Bulls .
The Oklahoma City Thunder ( 8 - 13 ) defeated the Milwaukee Bucks ( 11 - 12 ) 114 - 101 . Russell Westbrook scored 28 points ( 8 - 16 FG , 0 - 2 3PT , 12 - 15 FT ) to go with 5 rebounds . Kevin Durant scored 23 points ( 7 - 11 FG , 1 - 5 3PT , 8 - 8 FT ) to go with 9 rebounds . Reggie Jackson scored 18 points ( 8 - 14 FG , 2 - 7 3PT , 0 - 0 FT ) to go with 7 rebounds . O.J. Mayo scored 18 points ( 6 - 13 FG , 0 - 4 3PT , 6 - 6 FT ) to go with 4 rebounds . Giannis Antetokounmpo scored 17 points ( 4 - 11 FG , 1 - 2 3PT , 8 - 11 FT ) to go with 7 rebounds . Jabari Parker scored 15 points ( 7 - 13 FG , 0 - 0 3PT , 1 - 2 FT ) to go with 1 rebounds . The Oklahoma City Thunder ' next game will be at home against the Dallas Mavericks, while the Milwaukee Bucks will travel to play the Bulls .
The Atlanta Hawks ( 28 - 20 ) defeated the New York Knicks ( 21 - 28 ) 142 - 139 . Carmelo Anthony scored 45 points ( 18 - 36 FG , 3 - 9 3PT , 6 - 7 FT ) to go with 6 rebounds . Paul Millsap scored 37 points ( 13 - 29 FG , 3 - 8 3PT , 8 - 10 FT ) to go with 19 rebounds . Kent Bazemore scored 24 points ( 9 - 15 FG , 4 - 5 3PT , 2 - 2 FT ) to go with 10 rebounds . Dennis Schroder scored 23 points ( 9 - 25 FG , 1 - 4 3PT , 4 - 7 FT ) to go with 4 rebounds . Tim Hardaway Jr. scored 19 points ( 5 - 20 FG , 0 - 9 3PT , 9 - 12 FT ) to go with 5 rebounds . Dwight Howard scored 19 points ( 8 - 11 FG , 0 - 0 3PT , 3 - 7 FT ) to go with 12 rebounds . The Atlanta Hawks ' next game will be at home against the Dallas Mavericks, while the New York Knicks will travel to play the Bulls .
The Golden State Warriors ( 43 - 7 ) defeated the LA Clippers ( 31 - 19 ) 133 - 120 . Blake Griffin scored 31 points ( 10 - 19 FG , 0 - 0 3PT , 11 - 13 FT ) to go with 8 rebounds . Stephen Curry scored 29 points ( 11 - 23 FG , 3 - 10 3PT , 4 - 4 FT ) to go with 3 rebounds . Kevin Durant scored 26 points ( 8 - 18 FG , 2 - 7 3PT , 8 - 8 FT ) to go with 8 rebounds . Klay Thompson scored 21 points ( 9 - 19 FG , 3 - 6 3PT , 0 - 0 FT ) to go with 7 rebounds . Jamal Crawford scored 21 points ( 7 - 11 FG , 5 - 8 3PT , 2 - 3 FT ) to go with 2 rebounds . Austin Rivers scored 18 points ( 7 - 15 FG , 0 - 3 3PT , 4 - 6 FT ) to go with 4 rebounds . The Golden State Warriors ' next game will be at home against the Dallas Mavericks, while the LA Clippers will travel to play the Bulls .
The New York Knicks ( 28 - 40 ) defeated the Los Angeles Lakers ( 14 - 53 ) 90 - 87 . Carmelo Anthony scored 26 points ( 10 - 20 FG , 2 - 4 3PT , 4 - 4 FT ) to go with 12 rebounds . Robin Lopez scored 16 points ( 6 - 7 FG , 0 - 0 3PT , 4 - 5 FT ) to go with 8 rebounds . Lou Williams scored 15 points ( 7 - 12 FG , 1 - 3 3PT , 0 - 0 FT ) to go with 1 rebounds . Kobe Bryant scored 14 points ( 5 - 15 FG , 1 - 4 3PT , 3 - 4 FT ) to go with 2 rebounds . Jordan Clarkson scored 12 points ( 6 - 16 FG , 0 - 3 3PT , 0 - 0 FT ) to go with 3 rebounds . Brandon Bass scored 11 points ( 4 - 6 FG , 0 - 0 3PT , 3 - 3 FT ) to go with 5 rebounds . The New York Knicks ' next game will be at home against the Dallas Mavericks, while the Los Angeles Lakers will travel to play the Bulls .
